date,cash,positions_value,total_value,net_value,return,002466return,002466dividend,000858return,000858dividend,000333return,000333dividend,002555return,002555dividend,002602return,002602dividend
2023-01-03,1000000.0,0.0,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-01-04,1000000.0,0.0,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-01-05,829489.6243,170221.0,999710.6243,0.9997106243,-289.37569999997504,0.0,0.0,0.0,0.0,-289.37570000000414,0.0,0.0,0.0,0.0,0
2023-01-06,829489.6243,167431.0,996920.6243,0.9969206243000001,-3079.375699999975,0.0,0.0,0.0,0.0,-3079.375700000004,0.0,0.0,0.0,0.0,0
2023-01-09,829489.6243,167741.0,997230.6243,0.9972306243,-2769.375699999975,0.0,0.0,0.0,0.0,-2769.375700000004,0.0,0.0,0.0,0.0,0
2023-01-10,829489.6243,165850.0,995339.6243,0.9953396243,-4660.375699999975,0.0,0.0,0.0,0.0,-4660.375700000004,0.0,0.0,0.0,0.0,0
2023-01-11,829489.6243,168950.0,998439.6243,0.9984396243,-1560.375699999975,0.0,0.0,0.0,0.0,-1560.3757000000041,0.0,0.0,0.0,0.0,0
2023-01-12,829489.6243,169787.0,999276.6243,0.9992766243,-723.375699999975,0.0,0.0,0.0,0.0,-723.3757000000041,0.0,0.0,0.0,0.0,0
2023-01-13,829489.6243,173445.0,1002934.6243,1.0029346243000001,2934.624300000025,0.0,0.0,0.0,0.0,2934.624299999996,0.0,0.0,0.0,0.0,0
2023-01-16,829489.6243,178870.0,1008359.6243,1.0083596243,8359.624300000025,0.0,0.0,0.0,0.0,8359.624299999996,0.0,0.0,0.0,0.0,0
2023-01-17,829489.6243,179800.0,1009289.6243,1.0092896243,9289.624300000025,0.0,0.0,0.0,0.0,9289.624299999996,0.0,0.0,0.0,0.0,0
2023-01-18,829489.6243,178560.0,1008049.6243,1.0080496243000001,8049.624300000025,0.0,0.0,0.0,0.0,8049.624299999996,0.0,0.0,0.0,0.0,0
2023-01-19,829489.6243,177878.0,1007367.6243,1.0073676243,7367.624300000025,0.0,0.0,0.0,0.0,7367.624299999996,0.0,0.0,0.0,0.0,0
2023-01-20,829489.6243,176948.0,1006437.6243,1.0064376243,6437.624300000025,0.0,0.0,0.0,0.0,6437.624299999996,0.0,0.0,0.0,0.0,0
2023-01-30,829489.6243,172515.0,1002004.6243,1.0020046243,2004.624300000025,0.0,0.0,0.0,0.0,2004.6242999999959,0.0,0.0,0.0,0.0,0
2023-01-31,829489.6243,171120.0,1000609.6243,1.0006096243,609.624300000025,0.0,0.0,0.0,0.0,609.6242999999959,0.0,0.0,0.0,0.0,0
2023-02-01,829489.6243,172050.0,1001539.6243,1.0015396243,1539.624300000025,0.0,0.0,0.0,0.0,1539.6242999999959,0.0,0.0,0.0,0.0,0
2023-02-02,829489.6243,167276.0,996765.6243,0.9967656243,-3234.375699999975,0.0,0.0,0.0,0.0,-3234.375700000004,0.0,0.0,0.0,0.0,0
2023-02-03,829489.6243,165261.0,994750.6243,0.9947506243,-5249.375699999975,0.0,0.0,0.0,0.0,-5249.375700000004,0.0,0.0,0.0,0.0,0
2023-02-06,829489.6243,158875.0,988364.6243,0.9883646243,-11635.375699999975,0.0,0.0,0.0,0.0,-11635.375700000004,0.0,0.0,0.0,0.0,0
2023-02-07,829489.6243,159650.0,989139.6243,0.9891396243,-10860.375699999975,0.0,0.0,0.0,0.0,-10860.375700000004,0.0,0.0,0.0,0.0,0
2023-02-08,829489.6243,158131.0,987620.6243,0.9876206243,-12379.375699999975,0.0,0.0,0.0,0.0,-12379.375700000004,0.0,0.0,0.0,0.0,0
2023-02-09,829489.6243,159743.0,989232.6243,0.9892326243,-10767.375699999975,0.0,0.0,0.0,0.0,-10767.375700000004,0.0,0.0,0.0,0.0,0
2023-02-10,829489.6243,160022.0,989511.6243,0.9895116243000001,-10488.375699999975,0.0,0.0,0.0,0.0,-10488.375700000004,0.0,0.0,0.0,0.0,0
2023-02-13,829489.6243,162564.0,992053.6243,0.9920536243,-7946.375699999975,0.0,0.0,0.0,0.0,-7946.375700000004,0.0,0.0,0.0,0.0,0
2023-02-14,829489.6243,161851.0,991340.6243,0.9913406243,-8659.375699999975,0.0,0.0,0.0,0.0,-8659.375700000004,0.0,0.0,0.0,0.0,0
2023-02-15,829489.6243,159185.0,988674.6243,0.9886746243,-11325.375699999975,0.0,0.0,0.0,0.0,-11325.375700000004,0.0,0.0,0.0,0.0,0
2023-02-16,829489.6243,158968.0,988457.6243,0.9884576243000001,-11542.375699999975,0.0,0.0,0.0,0.0,-11542.375700000004,0.0,0.0,0.0,0.0,0
2023-02-17,829489.6243,159278.0,988767.6243,0.9887676243,-11232.375699999975,0.0,0.0,0.0,0.0,-11232.375700000004,0.0,0.0,0.0,0.0,0
2023-02-20,829489.6243,165230.0,994719.6243,0.9947196243,-5280.375699999975,0.0,0.0,0.0,0.0,-5280.375700000004,0.0,0.0,0.0,0.0,0
2023-02-21,829489.6243,165974.0,995463.6243,0.9954636243,-4536.375699999975,0.0,0.0,0.0,0.0,-4536.375700000004,0.0,0.0,0.0,0.0,0
2023-02-22,829489.6243,163618.0,993107.6243,0.9931076243,-6892.375699999975,0.0,0.0,0.0,0.0,-6892.375700000004,0.0,0.0,0.0,0.0,0
2023-02-23,829489.6243,165447.0,994936.6243,0.9949366243000001,-5063.375699999975,0.0,0.0,0.0,0.0,-5063.375700000004,0.0,0.0,0.0,0.0,0
2023-02-24,829489.6243,164238.0,993727.6243,0.9937276243000001,-6272.375699999975,0.0,0.0,0.0,0.0,-6272.375700000004,0.0,0.0,0.0,0.0,0
2023-02-27,829489.6243,162440.0,991929.6243,0.9919296243,-8070.375699999975,0.0,0.0,0.0,0.0,-8070.375700000004,0.0,0.0,0.0,0.0,0
2023-02-28,829489.6243,162626.0,992115.6243,0.9921156243,-7884.375699999975,0.0,0.0,0.0,0.0,-7884.375700000004,0.0,0.0,0.0,0.0,0
2023-03-01,829489.6243,169322.0,998811.6243,0.9988116243,-1188.375699999975,0.0,0.0,0.0,0.0,-1188.3757000000041,0.0,0.0,0.0,0.0,0
2023-03-02,829489.6243,170035.0,999524.6243,0.9995246243,-475.37569999997504,0.0,0.0,0.0,0.0,-475.37570000000414,0.0,0.0,0.0,0.0,0
2023-03-03,829489.6243,171120.0,1000609.6243,1.0006096243,609.624300000025,0.0,0.0,0.0,0.0,609.6242999999959,0.0,0.0,0.0,0.0,0
2023-03-06,829489.6243,166873.0,996362.6243,0.9963626243,-3637.375699999975,0.0,0.0,0.0,0.0,-3637.375700000004,0.0,0.0,0.0,0.0,0
2023-03-07,829489.6243,163866.0,993355.6243,0.9933556243,-6644.375699999975,0.0,0.0,0.0,0.0,-6644.375700000004,0.0,0.0,0.0,0.0,0
2023-03-08,829489.6243,162099.0,991588.6243,0.9915886243,-8411.375699999975,0.0,0.0,0.0,0.0,-8411.375700000004,0.0,0.0,0.0,0.0,0
2023-03-09,829489.6243,163370.0,992859.6243,0.9928596243000001,-7140.375699999975,0.0,0.0,0.0,0.0,-7140.375700000004,0.0,0.0,0.0,0.0,0
2023-03-10,829489.6243,158565.0,988054.6243,0.9880546243,-11945.375699999975,0.0,0.0,0.0,0.0,-11945.375700000004,0.0,0.0,0.0,0.0,0
2023-03-13,829489.6243,161386.0,990875.6243,0.9908756243,-9124.375699999975,0.0,0.0,0.0,0.0,-9124.375700000004,0.0,0.0,0.0,0.0,0
